# Tiempo	Posicion	Velocidad	Momentum
0.000000	-0.052196	0.000000	0.000000
0.033356	-0.051293	0.013533	0.001962
0.066667	-0.051293	0.020253	0.002937
0.100022	-0.049943	0.081059	0.011753
0.133333	-0.045890	0.145435	0.021088
0.166667	-0.040251	0.175968	0.025515
0.200022	-0.034154	0.233790	0.033900
0.233344	-0.024662	0.240671	0.034897
0.266667	-0.018115	0.247163	0.035839
0.300000	-0.008187	0.284154	0.041202
0.333322	0.000825	0.230008	0.033351
0.366656	0.007144	0.233418	0.033846
0.400011	0.016392	0.270762	0.039261
0.433322	0.025195	0.223608	0.032423
0.466656	0.031294	0.186270	0.027009
0.499989	0.037613	0.169120	0.024522
0.533322	0.042569	0.138479	0.020079
0.566656	0.046845	0.111667	0.016192
0.599978	0.050012	0.057706	0.008367
0.633322	0.050692	-0.003383	-0.000491
0.666656	0.049786	-0.050711	-0.007353
0.699978	0.047312	-0.084550	-0.012260
0.733311	0.044151	-0.114965	-0.016670
0.766711	0.039640	-0.135499	-0.019647
0.799989	0.035116	-0.163082	-0.023647
0.833311	0.028778	-0.199839	-0.028977
0.866644	0.021796	-0.202809	-0.029407
0.899978	0.015258	-0.226634	-0.032862
0.933311	0.006687	-0.257276	-0.037305
0.966644	-0.001894	-0.250411	-0.036310
0.999978	-0.010008	-0.226728	-0.032876
1.033311	-0.017009	-0.240549	-0.034880
1.066644	-0.026044	-0.226872	-0.032896
1.100033	-0.032147	-0.189417	-0.027466
1.133311	-0.038672	-0.162420	-0.023551
1.166633	-0.042964	-0.108331	-0.015708
1.199967	-0.045893	-0.044172	-0.006405
1.233300	-0.045908	0.016586	0.002405
1.266633	-0.044787	0.060899	0.008830
1.299967	-0.041848	0.108313	0.015705
1.333300	-0.037566	0.145673	0.021123
1.366633	-0.032137	0.186365	0.027023
1.399967	-0.025142	0.196264	0.028458
1.433289	-0.019055	0.216523	0.031396
1.466622	-0.010709	0.236322	0.034267
1.500033	-0.003282	0.182367	0.026443
1.533289	0.001448	0.186299	0.027013
1.566622	0.009124	0.203470	0.029503
1.599956	0.015013	0.199945	0.028992
1.633289	0.022453	0.206209	0.029900
1.666633	0.028763	0.169118	0.024522
1.699956	0.033728	0.145600	0.021112
1.733289	0.038468	0.108220	0.015692
1.766622	0.040943	0.071168	0.010319
1.799978	0.043214	0.007145	0.001036
1.833289	0.041419	-0.030129	-0.004369
1.866622	0.041206	-0.040586	-0.005885
1.899978	0.038712	-0.064482	-0.009350
1.933278	0.036908	-0.077950	-0.011303
1.966611	0.033518	-0.115081	-0.016687
1.999944	0.029236	-0.138621	-0.020100
2.033278	0.024277	-0.169212	-0.024536
2.066611	0.017955	-0.185690	-0.026925
2.099967	0.011893	-0.189087	-0.027418
2.133278	0.005349	-0.206641	-0.029963
2.166611	-0.001878	-0.220107	-0.031915
2.199944	-0.009325	-0.192895	-0.027970
2.233278	-0.014738	-0.179031	-0.025960
2.266611	-0.021260	-0.175745	-0.025483
2.299944	-0.026454	-0.155915	-0.022608
2.333278	-0.031654	-0.128870	-0.018686
2.366600	-0.035044	-0.108332	-0.015708
2.399933	-0.038875	-0.070908	-0.010282
2.433267	-0.039771	0.016916	0.002453
2.466600	-0.037748	0.067667	0.009812
2.499933	-0.035260	0.071191	0.010323
2.533267	-0.033001	0.101357	0.014697
2.566600	-0.028503	0.135098	0.019589
2.599956	-0.023992	0.145198	0.021054
2.633289	-0.018820	0.155591	0.022561
2.666600	-0.013623	0.193056	0.027993
2.699933	-0.005954	0.182668	0.026487
2.733278	-0.001443	0.155559	0.022556
2.766611	0.004418	0.182637	0.026482
2.799933	0.010731	0.176037	0.025525
2.833256	0.016150	0.152012	0.022042
2.866600	0.020865	0.148559	0.021541
2.899933	0.026056	0.155894	0.022605
2.933256	0.031256	0.128870	0.018686
2.966589	0.034646	0.057564	0.008347
2.999922	0.035094	0.040208	0.005830
3.033278	0.037327	0.020016	0.002902
3.066589	0.036428	-0.040411	-0.005860
3.099944	0.034633	-0.033639	-0.004878
3.133267	0.034185	-0.020310	-0.002945
3.166578	0.033280	-0.084659	-0.012276
3.199911	0.028543	-0.121644	-0.017638
3.233278	0.025166	-0.121873	-0.017672
3.266589	0.020417	-0.145840	-0.021147
3.299911	0.015449	-0.155754	-0.022584
3.333244	0.010035	-0.165613	-0.024014
3.366589	0.004406	-0.185784	-0.026939
3.399933	-0.002354	-0.172343	-0.024990
3.433244	-0.007082	-0.145435	-0.021088
3.466578	-0.012047	-0.176120	-0.025537
3.499911	-0.018823	-0.189609	-0.027493
3.533244	-0.024687	-0.155537	-0.022553
3.566578	-0.029192	-0.094685	-0.013729
3.599911	-0.031000	-0.084300	-0.012224
3.633244	-0.034812	-0.063999	-0.009280
3.666578	-0.035266	0.010147	0.001471
3.699933	-0.034136	0.030356	0.004402
3.733244	-0.033243	0.054254	0.007867
3.766567	-0.030520	0.071250	0.010331
3.799900	-0.028494	0.101595	0.014731
3.833233	-0.023747	0.128802	0.018676
3.866567	-0.019907	0.101782	0.014758
3.899900	-0.016962	0.121942	0.017682
3.933233	-0.011777	0.148960	0.021599
3.966567	-0.007031	0.152248	0.022076
3.999900	-0.001627	0.155439	0.022539
4.033256	0.003335	0.162398	0.023548
4.066567	0.009199	0.152279	0.022080
4.099889	0.013482	0.135167	0.019599
4.133222	0.018209	0.125135	0.018145
4.166556	0.021824	0.124999	0.018125
4.199911	0.026545	0.087844	0.012737
4.233244	0.027682	0.064398	0.009338
4.266556	0.030837	0.067830	0.009835
4.299889	0.032203	0.030629	0.004441
4.333244	0.032879	-0.006955	-0.001009
4.366556	0.031739	-0.023974	-0.003476
4.399889	0.031281	-0.044362	-0.006432
4.433222	0.028782	-0.081422	-0.011806
4.466567	0.025852	-0.087762	-0.012726
4.499900	0.022930	-0.101375	-0.014699
4.533222	0.019095	-0.115098	-0.016689
4.566556	0.015258	-0.145576	-0.021109
4.599889	0.009390	-0.152392	-0.022097
4.633222	0.005098	-0.148960	-0.021599
4.666556	-0.000541	-0.149126	-0.021623
4.699878	-0.004842	-0.145697	-0.021126
4.733211	-0.010252	-0.152156	-0.022063
4.766544	-0.014985	-0.135285	-0.019616
4.799878	-0.019271	-0.115032	-0.016680
4.833211	-0.022654	-0.098212	-0.014241
4.866544	-0.025818	-0.108425	-0.015722
4.899867	-0.029882	-0.091349	-0.013246
4.933211	-0.031908	-0.030303	-0.004394
4.966544	-0.031902	0.027303	0.003959
4.999878	-0.030088	0.027199	0.003944
5.033233	-0.030088	0.030356	0.004402
5.066544	-0.028064	0.077949	0.011303
5.099867	-0.024894	0.078005	0.011311
5.133211	-0.022864	0.071239	0.010330
5.166533	-0.020145	0.095032	0.013780
5.199867	-0.016530	0.135332	0.019623
5.233200	-0.011123	0.148915	0.021593
5.266533	-0.006602	0.128660	0.018656
5.299867	-0.002545	0.138715	0.020114
5.333200	0.002646	0.148915	0.021593
5.366533	0.007382	0.132018	0.019143
5.399856	0.011445	0.128780	0.018673
5.433211	0.015969	0.135384	0.019631
5.466544	0.020474	0.128513	0.018634
5.499856	0.024534	0.098337	0.014259
5.533189	0.027027	0.060900	0.008831
5.566522	0.028594	0.047413	0.006875
5.599856	0.030188	0.037393	0.005422
5.633211	0.031087	0.003336	0.000484
5.666522	0.030411	-0.013538	-0.001963
5.699856	0.030185	-0.027062	-0.003924
5.733200	0.028606	-0.064483	-0.009350
5.766511	0.025887	-0.067878	-0.009842
5.799844	0.024083	-0.080970	-0.011741
5.833211	0.020486	-0.098100	-0.014224
5.866522	0.017542	-0.094734	-0.013736
5.899844	0.014174	-0.115004	-0.016676
5.933178	0.009876	-0.135593	-0.019661
5.966522	0.005133	-0.159301	-0.023099
5.999844	-0.000744	-0.149124	-0.021623
6.033200	-0.004810	-0.125277	-0.018165
6.066511	-0.009096	-0.121799	-0.017661
6.099867	-0.012930	-0.111129	-0.016114
6.133178	-0.016505	-0.107925	-0.015649
