         t              x              v              p
  0.000000      -0.052200       0.000000       0.000000
  0.010000      -0.052147       0.010683       0.001549
  0.020000      -0.051986       0.021341       0.003094
  0.030000      -0.051720       0.031950       0.004633
  0.040000      -0.051348       0.042486       0.006161
  0.050000      -0.050871       0.052925       0.007674
  0.060000      -0.050290       0.063242       0.009170
  0.070000      -0.049606       0.073414       0.010645
  0.080000      -0.048822       0.083418       0.012096
  0.090000      -0.047938       0.093232       0.013519
  0.100000      -0.046958       0.102834       0.014911
  0.110000      -0.045883       0.112202       0.016269
  0.120000      -0.044715       0.121316       0.017591
  0.130000      -0.043457       0.130156       0.018873
  0.140000      -0.042113       0.138702       0.020112
  0.150000      -0.040684       0.146937       0.021306
  0.160000      -0.039175       0.154844       0.022452
  0.170000      -0.037588       0.162405       0.023549
  0.180000      -0.035928       0.169605       0.024593
  0.190000      -0.034198       0.176429       0.025582
  0.200000      -0.032401       0.182865       0.026515
  0.210000      -0.030542       0.188900       0.027390
  0.220000      -0.028624       0.194522       0.028206
  0.230000      -0.026653       0.199720       0.028959
  0.240000      -0.024631       0.204487       0.029651
  0.250000      -0.022564       0.208813       0.030278
  0.260000      -0.020456       0.212691       0.030840
  0.270000      -0.018312       0.216115       0.031337
  0.280000      -0.016136       0.219080       0.031767
  0.290000      -0.013932       0.221583       0.032130
  0.300000      -0.011706       0.223621       0.032425
  0.310000      -0.009461       0.225191       0.032653
  0.320000      -0.007203       0.226293       0.032812
  0.330000      -0.004937       0.226927       0.032904
  0.340000      -0.002666       0.227095       0.032929
  0.350000      -0.000396       0.226798       0.032886
  0.360000       0.001868       0.226039       0.032776
  0.370000       0.004123       0.224824       0.032599
  0.380000       0.006363       0.223155       0.032358
  0.390000       0.008584       0.221040       0.032051
  0.400000       0.010782       0.218485       0.031680
  0.410000       0.012953       0.215497       0.031247
  0.420000       0.015091       0.212084       0.030752
  0.430000       0.017193       0.208255       0.030197
  0.440000       0.019255       0.204019       0.029583
  0.450000       0.021272       0.199388       0.028911
  0.460000       0.023241       0.194371       0.028184
  0.470000       0.025158       0.188980       0.027402
  0.480000       0.027020       0.183227       0.026568
  0.490000       0.028822       0.177125       0.025683
  0.500000       0.030561       0.170687       0.024750
  0.510000       0.032234       0.163926       0.023769
  0.520000       0.033838       0.156856       0.022744
  0.530000       0.035370       0.149492       0.021676
  0.540000       0.036827       0.141849       0.020568
  0.550000       0.038206       0.133941       0.019421
  0.560000       0.039505       0.125785       0.018239
  0.570000       0.040721       0.117396       0.017022
  0.580000       0.041853       0.108790       0.015775
  0.590000       0.042897       0.099984       0.014498
  0.600000       0.043852       0.090994       0.013194
  0.610000       0.044716       0.081838       0.011866
  0.620000       0.045488       0.072532       0.010517
  0.630000       0.046166       0.063093       0.009149
  0.640000       0.046749       0.053540       0.007763
  0.650000       0.047237       0.043889       0.006364
  0.660000       0.047627       0.034158       0.004953
  0.670000       0.047919       0.024366       0.003533
  0.680000       0.048114       0.014529       0.002107
  0.690000       0.048210       0.004666       0.000677
  0.700000       0.048207      -0.005205      -0.000755
  0.710000       0.048106      -0.015065      -0.002184
  0.720000       0.047906      -0.024890      -0.003609
  0.730000       0.047608      -0.034659      -0.005025
  0.740000       0.047213      -0.044348      -0.006430
  0.750000       0.046722      -0.053937      -0.007821
  0.760000       0.046135      -0.063403      -0.009193
  0.770000       0.045454      -0.072725      -0.010545
  0.780000       0.044681      -0.081882      -0.011873
  0.790000       0.043817      -0.090854      -0.013174
  0.800000       0.042865      -0.099622      -0.014445
  0.810000       0.041825      -0.108164      -0.015684
  0.820000       0.040702      -0.116464      -0.016887
  0.830000       0.039497      -0.124503      -0.018053
  0.840000       0.038213      -0.132264      -0.019178
  0.850000       0.036853      -0.139730      -0.020261
  0.860000       0.035419      -0.146886      -0.021298
  0.870000       0.033916      -0.153717      -0.022289
  0.880000       0.032346      -0.160209      -0.023230
  0.890000       0.030713      -0.166349      -0.024121
  0.900000       0.029020      -0.172125      -0.024958
  0.910000       0.027272      -0.177526      -0.025741
  0.920000       0.025471      -0.182542      -0.026469
  0.930000       0.023622      -0.187163      -0.027139
  0.940000       0.021729      -0.191381      -0.027750
  0.950000       0.019796      -0.195190      -0.028303
  0.960000       0.017827      -0.198582      -0.028794
  0.970000       0.015826      -0.201553      -0.029225
  0.980000       0.013797      -0.204099      -0.029594
  0.990000       0.011745      -0.206215      -0.029901
  1.000000       0.009674      -0.207899      -0.030145
  1.010000       0.007589      -0.209151      -0.030327
  1.020000       0.005493      -0.209970      -0.030446
  1.030000       0.003391      -0.210356      -0.030502
  1.040000       0.001287      -0.210311      -0.030495
  1.050000      -0.000814      -0.209836      -0.030426
  1.060000      -0.002908      -0.208935      -0.030296
  1.070000      -0.004991      -0.207612      -0.030104
  1.080000      -0.007059      -0.205872      -0.029851
  1.090000      -0.009107      -0.203719      -0.029539
  1.100000      -0.011132      -0.201161      -0.029168
  1.110000      -0.013129      -0.198205      -0.028740
  1.120000      -0.015095      -0.194857      -0.028254
  1.130000      -0.017025      -0.191127      -0.027713
  1.140000      -0.018916      -0.187023      -0.027118
  1.150000      -0.020764      -0.182556      -0.026471
  1.160000      -0.022566      -0.177735      -0.025772
  1.170000      -0.024318      -0.172571      -0.025023
  1.180000      -0.026016      -0.167076      -0.024226
  1.190000      -0.027658      -0.161261      -0.023383
  1.200000      -0.029241      -0.155139      -0.022495
  1.210000      -0.030760      -0.148722      -0.021565
  1.220000      -0.032214      -0.142024      -0.020593
  1.230000      -0.033600      -0.135058      -0.019583
  1.240000      -0.034914      -0.127839      -0.018537
  1.250000      -0.036156      -0.120379      -0.017455
  1.260000      -0.037321      -0.112696      -0.016341
  1.270000      -0.038409      -0.104802      -0.015196
  1.280000      -0.039417      -0.096713      -0.014023
  1.290000      -0.040343      -0.088446      -0.012825
  1.300000      -0.041185      -0.080015      -0.011602
  1.310000      -0.041942      -0.071436      -0.010358
  1.320000      -0.042613      -0.062725      -0.009095
  1.330000      -0.043197      -0.053899      -0.007815
  1.340000      -0.043691      -0.044974      -0.006521
  1.350000      -0.044096      -0.035967      -0.005215
  1.360000      -0.044410      -0.026894      -0.003900
  1.370000      -0.044633      -0.017771      -0.002577
  1.380000      -0.044765      -0.008616      -0.001249
  1.390000      -0.044806       0.000555       0.000080
  1.400000      -0.044754       0.009724       0.001410
  1.410000      -0.044611       0.018871       0.002736
  1.420000      -0.044377       0.027975       0.004056
  1.430000      -0.044052       0.037016       0.005367
  1.440000      -0.043637       0.045973       0.006666
  1.450000      -0.043133       0.054827       0.007950
  1.460000      -0.042541       0.063557       0.009216
