         t              x              v
  0.000000       0.100000       0.000000
  0.010000       0.099875      -0.024989
  0.020000       0.099500      -0.049914
  0.030000       0.098877      -0.074711
  0.040000       0.098007      -0.099315
  0.050000       0.096892      -0.123664
  0.060000       0.095535      -0.147694
  0.070000       0.093939      -0.171345
  0.080000       0.092109      -0.194556
  0.090000       0.090050      -0.217267
  0.100000       0.087766      -0.239420
  0.110000       0.085263      -0.260959
  0.120000       0.082549      -0.281829
  0.130000       0.079629      -0.301978
  0.140000       0.076512      -0.321354
  0.150000       0.073205      -0.339908
  0.160000       0.069717      -0.357594
  0.170000       0.066056      -0.374368
  0.180000       0.062232      -0.390188
  0.190000       0.058256      -0.405015
  0.200000       0.054136      -0.418812
  0.210000       0.049883      -0.431546
  0.220000       0.045508      -0.443185
  0.230000       0.041023      -0.453702
  0.240000       0.036438      -0.463071
  0.250000       0.031765      -0.471271
  0.260000       0.027017      -0.478282
  0.270000       0.022204      -0.484088
  0.280000       0.017339      -0.488677
  0.290000       0.012434      -0.492038
  0.300000       0.007502      -0.494166
  0.310000       0.002555      -0.495056
  0.320000      -0.002395      -0.494708
  0.330000      -0.007335      -0.493126
  0.340000      -0.012253      -0.490314
  0.350000      -0.017137      -0.486281
  0.360000      -0.021975      -0.481040
  0.370000      -0.026754      -0.474605
  0.380000      -0.031463      -0.466994
  0.390000      -0.036090      -0.458227
  0.400000      -0.040624      -0.448327
  0.410000      -0.045053      -0.437321
  0.420000      -0.049367      -0.425237
  0.430000      -0.053554      -0.412106
  0.440000      -0.057605      -0.397962
  0.450000      -0.061510      -0.382841
  0.460000      -0.065259      -0.366780
  0.470000      -0.068843      -0.349821
  0.480000      -0.072253      -0.332006
  0.490000      -0.075480      -0.313380
  0.500000      -0.078518      -0.293987
  0.510000      -0.081358      -0.273878
  0.520000      -0.083993      -0.253100
  0.530000      -0.086417      -0.231707
  0.540000      -0.088625      -0.209748
  0.550000      -0.090611      -0.187280
  0.560000      -0.092369      -0.164356
  0.570000      -0.093897      -0.141033
  0.580000      -0.095189      -0.117367
  0.590000      -0.096243      -0.093417
  0.600000      -0.097056      -0.069239
  0.610000      -0.097627      -0.044894
  0.620000      -0.097954      -0.020439
  0.630000      -0.098036       0.004064
  0.640000      -0.097873       0.028558
  0.650000      -0.097465       0.052977
  0.660000      -0.096814       0.077261
  0.670000      -0.095920       0.101345
  0.680000      -0.094787       0.125170
  0.690000      -0.093418       0.148672
  0.700000      -0.091815       0.171792
  0.710000      -0.089984       0.194472
  0.720000      -0.087928       0.216652
  0.730000      -0.085652       0.238276
  0.740000      -0.083164       0.259289
  0.750000      -0.080469       0.279639
  0.760000      -0.077574       0.299272
  0.770000      -0.074486       0.318141
  0.780000      -0.071214       0.336196
  0.790000      -0.067765       0.353394
  0.800000      -0.064149       0.369690
  0.810000      -0.060374       0.385045
  0.820000      -0.056451       0.399420
  0.830000      -0.052389       0.412781
  0.840000      -0.048199       0.425093
  0.850000      -0.043891       0.436328
  0.860000      -0.039476       0.446459
  0.870000      -0.034966       0.455461
  0.880000      -0.030371       0.463313
  0.890000      -0.025703       0.469997
  0.900000      -0.020975       0.475497
  0.910000      -0.016197       0.479802
  0.920000      -0.011383       0.482903
  0.930000      -0.006543       0.484792
  0.940000      -0.001691       0.485469
  0.950000       0.003162       0.484931
  0.960000       0.008004       0.483184
  0.970000       0.012822       0.480232
  0.980000       0.017604       0.476084
  0.990000       0.022340       0.470754
  1.000000       0.027016       0.464255
  1.010000       0.031621       0.456606
  1.020000       0.036144       0.447827
  1.030000       0.040574       0.437941
  1.040000       0.044899       0.426974
  1.050000       0.049110       0.414954
  1.060000       0.053195       0.401913
  1.070000       0.057145       0.387884
  1.080000       0.060949       0.372902
  1.090000       0.064600       0.357005
  1.100000       0.068086       0.340233
  1.110000       0.071401       0.322628
  1.120000       0.074536       0.304235
  1.130000       0.077484       0.285098
  1.140000       0.080236       0.265265
  1.150000       0.082787       0.244786
  1.160000       0.085130       0.223709
  1.170000       0.087259       0.202088
  1.180000       0.089170       0.179975
  1.190000       0.090857       0.157424
  1.200000       0.092317       0.134491
  1.210000       0.093546       0.111230
  1.220000       0.094541       0.087699
  1.230000       0.095299       0.063956
  1.240000       0.095819       0.040057
  1.250000       0.096100       0.016061
  1.260000       0.096140      -0.007974
  1.270000       0.095941      -0.031989
  1.280000       0.095501      -0.055921
  1.290000       0.094823      -0.079710
  1.300000       0.093907      -0.103293
  1.310000       0.092758      -0.126611
  1.320000       0.091376      -0.149604
  1.330000       0.089767      -0.172213
  1.340000       0.087934      -0.194379
  1.350000       0.085881      -0.216048
  1.360000       0.083614      -0.237162
  1.370000       0.081140      -0.257668
  1.380000       0.078463      -0.277515
  1.390000       0.075592      -0.296653
  1.400000       0.072533      -0.315032
  1.410000       0.069294      -0.332606
  1.420000       0.065883      -0.349332
  1.430000       0.062310      -0.365168
  1.440000       0.058583      -0.380075
  1.450000       0.054712      -0.394015
  1.460000       0.050706      -0.406954
  1.470000       0.046576      -0.418861
  1.480000       0.042333      -0.429706
  1.490000       0.037986      -0.439465
  1.500000       0.033547      -0.448113
  1.510000       0.029027      -0.455630
  1.520000       0.024438      -0.461998
  1.530000       0.019791      -0.467204
  1.540000       0.015098      -0.471236
  1.550000       0.010370      -0.474085
  1.560000       0.005620      -0.475745
  1.570000       0.000859      -0.476215
  1.580000      -0.003900      -0.475495
  1.590000      -0.008646      -0.473589
  1.600000      -0.013368      -0.470502
  1.610000      -0.018053      -0.466244
  1.620000      -0.022689      -0.460828
  1.630000      -0.027265      -0.454268
  1.640000      -0.031771      -0.446583
  1.650000      -0.036193      -0.437792
  1.660000      -0.040523      -0.427919
  1.670000      -0.044748      -0.416990
  1.680000      -0.048859      -0.405033
  1.690000      -0.052846      -0.392079
  1.700000      -0.056698      -0.378161
  1.710000      -0.060406      -0.363314
  1.720000      -0.063961      -0.347575
  1.730000      -0.067354      -0.330984
  1.740000      -0.070578      -0.313583
  1.750000      -0.073623      -0.295415
  1.760000      -0.076484      -0.276525
  1.770000      -0.079152      -0.256960
  1.780000      -0.081621      -0.236767
  1.790000      -0.083885      -0.215998
  1.800000      -0.085939      -0.194702
  1.810000      -0.087778      -0.172932
  1.820000      -0.089396      -0.150742
  1.830000      -0.090791      -0.128184
  1.840000      -0.091959      -0.105315
  1.850000      -0.092897      -0.082190
  1.860000      -0.093602      -0.058865
  1.870000      -0.094073      -0.035398
  1.880000      -0.094310      -0.011844
  1.890000      -0.094310       0.011738
  1.900000      -0.094075       0.035291
  1.910000      -0.093605       0.058752
  1.920000      -0.092900       0.082063
  1.930000      -0.091964       0.105162
  1.940000      -0.090798       0.127992
  1.950000      -0.089405       0.150493
  1.960000      -0.087790       0.172607
  1.970000      -0.085955       0.194279
  1.980000      -0.083906       0.215453
  1.990000      -0.081648       0.236075
  2.000000      -0.079186       0.256093
  2.010000      -0.076528       0.275455
  2.020000      -0.073679       0.294113
  2.030000      -0.070648       0.312020
  2.040000      -0.067442       0.329130
  2.050000      -0.064068       0.345402
  2.060000      -0.060537       0.360793
  2.070000      -0.056855       0.375267
  2.080000      -0.053034       0.388787
  2.090000      -0.049083       0.401320
  2.100000      -0.045011       0.412836
  2.110000      -0.040830       0.423306
  2.120000      -0.036549       0.432705
  2.130000      -0.032179       0.441011
  2.140000      -0.027732       0.448205
  2.150000      -0.023219       0.454270
  2.160000      -0.018651       0.459192
  2.170000      -0.014039       0.462960
  2.180000      -0.009395       0.465566
  2.190000      -0.004732       0.467006
  2.200000      -0.000059       0.467277
  2.210000       0.004610       0.466381
  2.220000       0.009265       0.464322
  2.230000       0.013893       0.461105
  2.240000       0.018483       0.456741
  2.250000       0.023024       0.451242
  2.260000       0.027504       0.444624
  2.270000       0.031912       0.436904
  2.280000       0.036238       0.428102
  2.290000       0.040471       0.418243
  2.300000       0.044600       0.407351
  2.310000       0.048615       0.395455
  2.320000       0.052506       0.382585
  2.330000       0.056263       0.368774
  2.340000       0.059878       0.354057
  2.350000       0.063341       0.338472
  2.360000       0.066645       0.322056
  2.370000       0.069780       0.304852
  2.380000       0.072739       0.286902
  2.390000       0.075516       0.268251
  2.400000       0.078102       0.248944
  2.410000       0.080493       0.229030
  2.420000       0.082681       0.208557
  2.430000       0.084662       0.187576
  2.440000       0.086431       0.166138
  2.450000       0.087983       0.144295
  2.460000       0.089316       0.122101
  2.470000       0.090424       0.099611
